Time (ms),Servo Angle (degrees),Buzzer State
1170,90,0
1260,90,0
1350,90,0
1441,90,0
1531,90,0
1623,90,0
1713,90,0
1803,90,0
1894,90,0
1984,90,0
2075,90,0
2165,90,0
2256,90,0
2347,90,0
2437,90,0
2528,90,0
2618,90,0
2709,90,0
2799,90,0
2889,90,0
2980,90,0
3070,90,0
3162,90,0
3252,90,0
3343,90,0
3433,90,0
3523,90,0
3614,90,0
3704,90,0
3795,90,0
3886,90,0
3976,90,0
4067,90,0
4157,90,0
4248,90,0
4338,90,0
4428,90,0
4519,90,0
4610,90,0
4701,90,0
4791,90,0
4881,90,0
4972,90,0
5062,90,0
5153,90,0
5243,90,0
5334,90,0
5425,90,0
5515,90,0
5606,90,0
5696,90,0
5786,90,0
5877,90,0
5967,90,0
6059,90,0
6149,90,0
6239,90,0
6330,90,0
6420,90,0
6511,90,0
6601,90,0
6692,90,0
6782,90,0
6873,90,0
6964,90,0
7054,90,0
7145,90,0
7235,90,0
7326,90,0
7416,90,0
7506,90,0
7598,90,0
7688,90,0
7779,90,0
7869,90,0
7960,90,0
8050,90,0
8141,90,0
8231,90,0
8323,90,0
8413,90,0
8504,90,0
8594,90,0
8684,90,0
8775,90,0
8865,90,0
8956,90,0
9047,90,0
9138,90,0
9228,90,0
9318,90,0
9409,90,0
9499,90,0
9590,90,0
9680,90,0
9772,90,0
9862,90,0
9952,90,0
10043,90,0
10133,90,0
10224,90,0
10314,90,0
10405,90,0
10496,90,0
10586,90,0
10677,90,0
10767,90,0
10858,90,0
10948,90,0
11039,90,0
11129,90,0
11220,90,0
11311,90,0
11402,90,0
11492,90,0
11582,90,0
11673,90,0
11763,90,0
11854,90,0
11944,90,0
12036,90,0
12126,90,0
12217,90,0
12307,90,0
12398,90,0
12488,90,0
12579,90,0
12669,90,0
12761,90,0
12851,90,0
12942,90,0
13032,90,0
13122,90,0
13213,90,0
13303,90,0
13394,90,0
13485,90,0
13576,90,0
13666,90,0
13756,90,0
13847,90,0
13937,90,0
14028,90,0
14118,90,0
14210,90,0
14300,90,0
14391,90,0
14481,90,0
14571,90,0
14662,90,0
14752,90,0
14843,90,0
14934,90,0
15025,90,0
15115,90,0
15206,90,0
15296,90,0
15387,90,0
15477,90,0
15568,90,0
15659,90,0
15750,90,0
15840,90,0
15930,90,0
16021,90,0
16111,90,0
16202,90,0
16292,90,0
16384,90,0
16474,90,0
16565,90,0
16655,90,0
16746,90,0
16836,90,0
16927,90,0
17017,90,0
17107,90,0
17199,90,0
17289,90,0
17380,90,0
17470,90,0
17561,90,0
17651,90,0
17742,90,0
17832,90,0
17924,90,0
18014,90,0
18104,90,0
18195,90,0
18285,90,0
18376,90,0
18466,90,0
18557,90,0
18648,90,0
18739,90,0
18829,90,0
18920,90,0
19010,90,0
19101,90,0
19191,90,0
19282,90,0
19373,90,0
19464,90,0
19554,90,0
19645,90,0
19735,90,0
19826,90,0
19916,90,0
20007,90,0
20098,90,0
20188,90,0
20279,90,0
20369,90,0
20460,90,0
20550,90,0
20641,90,0
20731,90,0
20823,90,0
20913,90,0
21004,90,0
21094,90,0
21185,90,0
21275,90,0
21366,90,0
21456,90,0
21548,90,0
21638,90,0
21729,90,0
21819,90,0
21910,90,0
22000,90,0
22090,90,0
22181,90,0
22272,90,0
22363,90,0
22453,90,0
22544,90,0
22634,90,0
22725,90,0
22815,90,0
22906,90,0
22996,90,0
23087,90,0
23178,90,0
23268,90,0
23359,90,0
23449,90,0
23540,90,0
23630,90,0
23721,90,0
23812,90,0
23903,90,0
23993,90,0
24084,90,0
24174,90,0
24265,90,0
24355,90,0
24446,90,0
24537,90,0
24627,90,0
24718,90,0
24808,90,0
24899,90,0
24989,90,0
25080,90,0
25170,90,0
25262,90,0
25352,90,0
25443,90,0
25533,90,0
25624,90,0
25714,90,0
25804,90,0
25895,90,0
25986,90,0
26077,90,0
26167,90,0
26258,90,0
26348,90,0
26438,90,0
26529,90,0
26619,90,0
26711,90,0
26801,90,0
26892,90,0
26982,90,0
27073,90,0
27163,90,0
27254,90,0
27344,90,0
27436,90,0
27526,90,0
27617,90,0
27707,90,0
27798,90,0
27888,90,0
27978,90,0
28069,90,0
28160,90,0
28251,90,0
28341,90,0
28432,90,0
28522,90,0
28613,90,0
28703,90,0
28794,90,0
28884,90,0
28976,90,0
29066,90,0
29157,90,0
29247,90,0
29338,90,0
29428,90,0
29519,90,0
29609,90,0
29701,90,0
29791,90,0
29882,90,0
29972,90,0
30063,90,0
30153,90,0
30244,90,0
30334,90,0
30426,90,0
30516,90,0
30606,90,0
30697,90,0
30787,90,0
30878,90,0
30968,90,0
31059,90,0
31150,90,0
31241,90,0
31331,90,0
31422,90,0
31512,90,0
31603,90,0
31693,90,0
31783,90,0
31875,90,0
31965,90,0
32056,90,0
32146,90,0
32237,90,0
32327,90,0
32418,90,0
32508,90,0
32600,90,0
32690,90,0
32781,90,0
32871,90,0
32962,90,0
33052,90,0
33143,90,0
33233,90,0
33325,90,0
33415,90,0
33506,90,0
33596,90,0
33687,90,0
33777,90,0
33867,90,0
33958,90,0
34049,90,0
34140,90,0
34230,90,0
34321,90,0
34411,90,0
34502,90,0
34592,90,0
34683,90,0
34774,90,0
34864,90,0
34955,90,0
35045,90,0
35136,90,0
35226,90,0
35317,90,0
35407,90,0
35499,90,0
35589,90,0
35680,90,0
35770,90,0
35861,90,0
35951,90,0
36042,90,0
36132,90,0
36222,90,0
36314,90,0
